title,epoch_stopped,training_time,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss,test_f1_score,fold_mean_acc,fold_mean_loss,fold_mean_f1_score,fold_1_acc,fold_1_loss,fold_1_f1_score,fold_2_acc,fold_2_loss,fold_2_f1_score,fold_3_acc,fold_3_loss,fold_3_f1_score,fold_4_acc,fold_4_loss,fold_4_f1_score,fold_5_acc,fold_5_loss,fold_5_f1_score
batch_size=16_CNN,57,00:01:03,0.728142499923706,0.7684902548789978,0.8522427678108215,0.4579411745071411,0.8530805706977844,0.4931836724281311,0.8524813985152631,0.8627553582191467,0.45867636799812317,0.8627553229560888,0.8891820311546326,0.4273696839809418,0.8883706299834112,0.857519805431366,0.44334396719932556,0.857478279161607,0.8733509182929993,0.46118342876434326,0.8737784735132729,0.850923478603363,0.44429221749305725,0.8510166288570449,0.8428005576133728,0.517192542552948,0.8431326032651074
batch_size=32_CNN,53,00:00:42,0.7759815454483032,0.617713212966919,0.8944591283798218,0.37323370575904846,0.8696682453155518,0.40876445174217224,0.8698978718350652,0.8999721050262451,0.3165543437004089,0.8998928969199491,0.8891820311546326,0.3639014959335327,0.8891798447558283,0.9063324332237244,0.3178330361843109,0.9061425270395618,0.9248021245002747,0.2584535479545593,0.9243225055579839,0.8852242827415466,0.328512966632843,0.8855195803002177,0.8943196535110474,0.3140706717967987,0.8943000269461542
batch_size=64_CNN,84,00:00:42,0.8531837463378906,0.44056403636932373,0.9248021245002747,0.25745081901550293,0.9052132964134216,0.31479087471961975,0.9052448776832887,0.9163375735282898,0.27378988564014434,0.9162173885569913,0.9050132036209106,0.32907700538635254,0.9052179004382507,0.9102902412414551,0.278865784406662,0.9097130996490973,0.9353561997413635,0.21203602850437164,0.9351906499377985,0.9116094708442688,0.2806887626647949,0.9117788108749671,0.9194187521934509,0.26828184723854065,0.9191864818848425
batch_size=16_LSTM,15,00:01:08,0.16595183312892914,2.1739299297332764,0.18469657003879547,1.9770182371139526,0.20379146933555603,1.9845069646835327,0.18809144092329877,0.2924009174108505,1.7439842343330383,0.2509482509049514,0.139841690659523,1.9973554611206055,0.11480370165633252,0.1886543482542038,1.9606775045394897,0.10116213101471178,0.18601582944393158,1.948611855506897,0.17240377373072877,0.748021125793457,0.8228787779808044,0.7477487749469466,0.1994715929031372,1.990397572517395,0.11862287317603723
batch_size=32_LSTM,103,00:03:50,0.8597822785377502,0.38905033469200134,0.7704485654830933,0.775439441204071,0.7677724957466125,0.7432470917701721,0.7656515953611446,0.8070657968521118,0.7186403512954712,0.8066208334225949,0.8245382308959961,0.7497865557670593,0.823612370001085,0.8021107912063599,0.641882061958313,0.802422082972768,0.831134557723999,0.6189945340156555,0.8297935062005108,0.7981530427932739,0.7573277950286865,0.7980238501586912,0.7793923616409302,0.8252108097076416,0.7792523577799199
batch_size=64_LSTM,144,00:02:55,0.9191685914993286,0.24568645656108856,0.7875989675521851,0.7549459338188171,0.7796208262443542,0.7777923941612244,0.7782073169666323,0.7243678092956543,0.8878065347671509,0.7217565295967135,0.8258575201034546,0.7460036873817444,0.8258940520641633,0.837730884552002,0.6345476508140564,0.8382477227554482,0.8021107912063599,0.729628324508667,0.8013211548329188,0.8021107912063599,0.7068159580230713,0.8024648566375986,0.3540290594100952,1.6220370531082153,0.3408548616934392
batch_size=16_CNN-LSTM,55,00:02:18,0.9620587229728699,0.113188736140728,0.9379947185516357,0.1886884570121765,0.9336493015289307,0.30983343720436096,0.933944248617448,0.9485366106033325,0.18028866350650788,0.9484279230462487,0.9248021245002747,0.2817850410938263,0.924437244876116,0.9498680830001831,0.166340172290802,0.9498336312498428,0.9683377146720886,0.13591495156288147,0.9682348172127327,0.9459102749824524,0.174003005027771,0.9458908282028903,0.9537648558616638,0.1434001475572586,0.9537430936896625
batch_size=32_CNN-LSTM,50,00:01:06,0.9666776657104492,0.09390468895435333,0.9472295641899109,0.15751533210277557,0.928909957408905,0.26524659991264343,0.928640022534272,0.9493281722068787,0.1888158529996872,0.9492691313757373,0.9432717561721802,0.24448277056217194,0.9432164507934371,0.9353561997413635,0.17101973295211792,0.9353159047470483,0.9643799662590027,0.15863744914531708,0.9643737180753148,0.9498680830001831,0.1961473673582077,0.9497215475403917,0.9537648558616638,0.17379194498062134,0.9537180357224945
batch_size=64_CNN-LSTM,57,00:00:41,0.9686571955680847,0.1015864685177803,0.940633237361908,0.20701654255390167,0.9052132964134216,0.3311767578125,0.9045507958492571,0.9453675985336304,0.19633556604385377,0.9452879255193836,0.9459102749824524,0.2454659342765808,0.9457201574632842,0.9498680830001831,0.17499418556690216,0.9497641063582104,0.9577836394309998,0.14644663035869598,0.957607748798974,0.9300791621208191,0.2249726504087448,0.9299018010181317,0.9431968331336975,0.18979842960834503,0.9434458139583173
batch_size=16_Deep_ANN,40,00:00:36,0.9435829520225525,0.17875513434410095,0.9722955226898193,0.10021725296974182,0.9691942930221558,0.11691896617412567,0.9690601356209582,0.9717601418495179,0.10793276876211166,0.9717401257966755,0.9643799662590027,0.14167998731136322,0.9643037270472946,0.9762532711029053,0.08527642488479614,0.9762091682093278,0.9722955226898193,0.09120570868253708,0.972222866125793,0.9749340415000916,0.08747294545173645,0.9749450487837662,0.9709379076957703,0.13402877748012543,0.9710198188171951
batch_size=32_Deep_ANN,62,00:00:33,0.9831738471984863,0.06037774682044983,0.9749340415000916,0.0648522898554802,0.9620853066444397,0.12069408595561981,0.9620293784922871,0.97703857421875,0.08902480229735374,0.9770628879261409,0.9709762334823608,0.1266956627368927,0.9709445008905689,0.9762532711029053,0.09039286524057388,0.9763879008253409,0.9828495979309082,0.0586506687104702,0.9828228200588275,0.9788918495178223,0.08272705972194672,0.978910077076037,0.9762219190597534,0.08665775507688522,0.9762491407799297
batch_size=64_Deep_ANN,73,00:00:27,0.9910920262336731,0.04598059877753258,0.980211079120636,0.07296702265739441,0.9691942930221558,0.10958773642778397,0.9690966457925085,0.970968234539032,0.1046774834394455,0.9709615265936904,0.9617414474487305,0.13752998411655426,0.9617594593634944,0.9722955226898193,0.09878332167863846,0.9723316452825721,0.9749340415000916,0.08028093725442886,0.9748322846655132,0.9762532711029053,0.08295098692178726,0.9762190166676749,0.9696168899536133,0.12384218722581863,0.9696652269891974
