title,epoch_stopped,training_time,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss,test_f1_score,fold_mean_acc,fold_mean_loss,fold_mean_f1_score,fold_1_acc,fold_1_loss,fold_1_f1_score,fold_2_acc,fold_2_loss,fold_2_f1_score,fold_3_acc,fold_3_loss,fold_3_f1_score,fold_4_acc,fold_4_loss,fold_4_f1_score,fold_5_acc,fold_5_loss,fold_5_f1_score
optimizer=Adam_CNN,34,00:00:28,0.33949190378189087,1.722974419593811,0.49076518416404724,1.4284700155258179,0.4739336371421814,1.4445419311523438,0.47336647905675483,0.5838077545166016,1.1994166374206543,0.5841337445354065,0.5131925940513611,1.445227026939392,0.517240255000249,0.6174142360687256,1.1156564950942993,0.614881981087777,0.5963060855865479,1.1433535814285278,0.5958666858655397,0.5606859922409058,1.1749361753463745,0.562985124794469,0.6314398646354675,1.1179099082946777,0.6296946759289974
optimizer=SGD_CNN,57,00:00:33,0.4153744578361511,1.5493717193603516,0.5290237665176392,1.2652368545532227,0.5639810562133789,1.260589838027954,0.5674814226940719,0.519156301021576,1.3763909816741944,0.51709586781624,0.519788920879364,1.3821715116500854,0.5229816857654239,0.5224274396896362,1.3603142499923706,0.518902849847091,0.4854881167411804,1.4502917528152466,0.47780451367992754,0.4656991958618164,1.47868812084198,0.465720221201218,0.6023778319358826,1.210489273071289,0.6000700685875393
architecture=RMSprop_CNN,71,00:00:36,0.47146156430244446,1.4024181365966797,0.6332454085350037,1.0783979892730713,0.649289071559906,1.0259736776351929,0.646866926709332,0.6278616786003113,1.0900798678398131,0.6251319836674718,0.7269129157066345,0.8560451865196228,0.7266991339671403,0.6200527548789978,1.105406641960144,0.6130146232735822,0.6649076342582703,1.0219179391860962,0.6644141115248566,0.5316622853279114,1.2943674325942993,0.5259067319919969,0.5957728028297424,1.1726621389389038,0.5956253175797835
optimizer=Adam_LSTM,159,00:03:07,0.9386340975761414,0.18812967836856842,0.8047493696212769,0.7374677062034607,0.7962085604667664,0.7009336352348328,0.7938460978839706,0.7235811471939086,0.8969456791877747,0.7214239300357956,0.8073878884315491,0.7784261703491211,0.8072937951927347,0.8258575201034546,0.6728063225746155,0.8266494819224552,0.8192611932754517,0.7148217558860779,0.8187086977390794,0.7928760051727295,0.7231579422950745,0.7931366114070744,0.37252312898635864,1.5955162048339844,0.3613310639176346
optimizer=SGD_LSTM,146,00:02:55,0.927746593952179,0.22038619220256805,0.7928760051727295,0.7392792105674744,0.7938388586044312,0.7796074748039246,0.7931416371725153,0.8099695682525635,0.6984901547431945,0.8101228484498446,0.811345636844635,0.7308686375617981,0.8112743482154027,0.8364115953445435,0.6695738434791565,0.837227758661662,0.8153034448623657,0.6631168723106384,0.8156609155646443,0.8021107912063599,0.7013521194458008,0.802177516851666,0.7846763730049133,0.7275393009185791,0.7842737029558478
optimizer=RMSprop_LSTM,163,00:03:14,0.9386340975761414,0.19125519692897797,0.8192611932754517,0.6766902804374695,0.7890995144844055,0.7802942991256714,0.7891022176037885,0.7849064111709595,0.7484416723251343,0.7844248445182628,0.751978874206543,0.8084874153137207,0.7504643539724607,0.8298153281211853,0.6706295013427734,0.8297379879768821,0.8047493696212769,0.7600877285003662,0.804157090915112,0.7427440881729126,0.7821295857429504,0.7421905852772962,0.7952443957328796,0.7208741307258606,0.7955742044495628
optimizer=Adam_CNN-LSTM,95,00:01:07,0.717914879322052,0.7707434296607971,0.8087071180343628,0.6037112474441528,0.829383909702301,0.5836085677146912,0.828496663551028,0.7907163739204407,0.6675598382949829,0.7908251447853576,0.688654363155365,0.9390504956245422,0.6894903900378428,0.7875989675521851,0.6780046820640564,0.7876469181888395,0.8733509182929993,0.47392475605010986,0.8733002280587593,0.7889181971549988,0.6405189633369446,0.7887927238203847,0.8150594234466553,0.6063002943992615,0.8148954638209617
optimizer=SGD_CNN-LSTM,132,00:01:31,0.8109534978866577,0.5357950329780579,0.8746702075004578,0.4182069003582001,0.8625592589378357,0.42505940794944763,0.860958038063429,0.7880883097648621,0.6762019872665406,0.7878987042010271,0.748021125793457,0.7720303535461426,0.7481036840554018,0.837730884552002,0.5162792801856995,0.8375094397727114,0.6649076342582703,1.014642596244812,0.664776252080767,0.8350923657417297,0.5282406806945801,0.8345231576622643,0.8546895384788513,0.5498170256614685,0.8545809874339908
optimizer=RMSprop_CNN-LSTM,129,00:01:31,0.7829099297523499,0.6058067679405212,0.8799472451210022,0.45823538303375244,0.8530805706977844,0.44613996148109436,0.8517766170897458,0.8289798259735107,0.5515116393566132,0.8289875502428663,0.7361477613449097,0.7873696684837341,0.7365739011782305,0.8786279559135437,0.4232449531555176,0.8784197443821704,0.8562005162239075,0.47394368052482605,0.8559436264316925,0.8403694033622742,0.5192607045173645,0.8401487015924639,0.8335534930229187,0.5537391901016235,0.833851777629774
optimizer=Adam_Deep_ANN,51,00:00:22,0.9772352576255798,0.09020628780126572,0.9696570038795471,0.09751424193382263,0.9620853066444397,0.1233244463801384,0.9620219534515685,0.9704384446144104,0.10897905975580216,0.9704103005037729,0.9617414474487305,0.16682593524456024,0.9616530014901603,0.9762532711029053,0.08380844444036484,0.9762067217884539,0.9749340415000916,0.08405524492263794,0.9749307400774301,0.9775725603103638,0.07943271100521088,0.9775250412208567,0.9616909027099609,0.13077296316623688,0.961735997941963
optimizer=SGD_Deep_ANN,41,00:00:20,0.9679973721504211,0.13462474942207336,0.9709762334823608,0.112403504550457,0.9549763202667236,0.13089053332805634,0.9548682346202675,0.9725506544113159,0.10265102088451386,0.9725470452143391,0.9709762334823608,0.12363459914922714,0.9709049559367023,0.9722955226898193,0.11413552612066269,0.9723085769032953,0.9788918495178223,0.06872681528329849,0.9788934454269815,0.9736147522926331,0.0866723284125328,0.9735703358376174,0.9669749140739441,0.12008583545684814,0.9670579119670994
optimizer=RMSprop_Deep_ANN,52,00:00:22,0.9775651693344116,0.08973754197359085,0.9762532711029053,0.10590460896492004,0.9668246507644653,0.11321840435266495,0.9666582403534878,0.9685932278633118,0.10777018815279008,0.9686128638961506,0.9643799662590027,0.13628312945365906,0.9643259611338482,0.9643799662590027,0.13538511097431183,0.9645117931052323,0.9762532711029053,0.06565689295530319,0.9761896652050727,0.9696570038795471,0.07981810718774796,0.9696234908162549,0.9682959318161011,0.12170770019292831,0.9684134092203444
